,Year,Population,Density of Population,Natural Growth Rate,Total Households,Average Persons Per Household,Unemployment Rate,GDP,per capita GDP,GDP Growth Rate,Residential Garbage
0,2000,1608.6,2537.0,-1.71,475.73,2.78,3.5,4812.15,30307,11.0,641.0
1,2001,1668.33,2631.0,-0.95,478.92,2.77,4.3,5257.66,32089,10.5,644.0
2,2002,1712.97,2702.0,-0.54,481.77,2.77,4.8,5795.02,34277,10.9,467.0
3,2003,1765.84,2785.0,-1.35,486.06,2.76,4.9,6762.38,38878,11.8,585.0
4,2004,1834.98,2894.0,0.0,490.58,2.76,4.5,8165.38,45353,13.64,610.0
5,2005,1890.26,2981.0,0.96,496.69,2.74,4.4,9365.54,50282,11.1,622.0
6,2006,1964.11,3098.0,1.58,499.54,2.74,4.4,10718.04,55615,12.0,658.0
7,2007,2063.58,3255.0,3.04,503.29,2.74,4.3,12668.89,62909,14.3,702.0
8,2008,2140.65,3376.0,2.72,506.64,2.75,4.2,14276.79,67916,9.7,678.0
9,2009,2210.28,3486.0,2.7,509.79,2.75,4.3,15287.56,70273,8.24,710.0
10,2010,2302.66,3632.0,1.98,519.27,2.72,4.2,17436.85,77275,10.34,732.0
11,2011,2347.46,3702.0,1.87,522.01,2.72,4.2,19539.07,84037,8.2,704.0
12,2012,2380.43,3754.0,4.2,524.31,2.72,4.2,20558.98,86969,7.5,716.0
13,2013,2415.15,3809.0,2.94,527.52,2.72,4.2,22264.06,92852,7.04,735.0
14,2014,2425.68,3826.0,3.14,532.55,2.7,4.2,24068.2,99438,7.0,743.0
15,2015,2415.27,3809.0,2.45,536.76,2.69,4.1,25659.18,106009,6.9,790.0
16,2016,2419.7,3816.0,4.0,541.62,2.68,4.1,28183.51,116582,6.9,880.0
17,2017,2418.33,3814.0,2.8,546.13,2.66,3.9,30632.99,126634,6.9,900.0
18,2018,2423.78,3823.0,1.8,550.6400000000008,2.6399999999999997,3.57,32679.87,134982,6.6,920.0
19,2019,2428.14,3832.0,1.5,555.1500000000013,2.6199999999999983,3.6,38155.32,157300,6.0,940.0
