宝山镇,庄行镇,马陆镇,新泾镇街道,泖港镇,朱泾镇,山阳镇,华新镇,夏阳街道,南桥镇,奉城镇,嘉定镇街道,江桥镇,九亭镇,岳阳街道,大场镇,张庙街道,月浦镇,七宝镇,浦江镇,颛桥镇,高行镇,三林镇,周浦镇,花木街道,惠南镇,川沙新镇,p_value
991667,520902,350718,999417,208331,0,32055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
415057,298436,174185,999877,184266,0,32055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999214,0,0,7
303049,257046,174185,998037,184266,0,32055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,994181,160271,0,8
303049,168280,174185,621854,162619,0,32055,0,0,0,0,0,0,0,0,0,0,0,487531,0,0,0,0,0,993246,160271,0,9
98544,168280,144210,403203,162619,0,32055,0,0,0,0,0,0,0,0,0,501318,0,470100,0,0,0,0,0,962490,160271,0,10
98544,156908,144210,425412,140543,0,32055,0,0,0,0,0,0,283782,0,0,501318,0,0,0,0,0,529138,0,645073,146107,0,11
98544,156908,135058,385124,129223,0,32055,0,90982,0,0,0,0,0,0,0,501318,0,369711,0,0,0,415043,0,643017,146107,0,12
98544,156908,135058,385124,129223,0,32055,0,90982,0,0,0,0,0,0,0,501318,0,369711,0,0,0,394275,0,531632,138831,139429,13
74105,156908,135058,385124,129223,0,32055,0,90982,0,0,0,0,0,0,0,451149,0,369711,0,0,237018,394275,0,392495,138965,116022,14
74105,117019,135058,385124,117329,0,32055,0,90982,0,0,0,0,0,0,0,451149,0,273100,0,159766,237018,382903,0,392495,138965,116022,15
74105,105244,135058,385124,117329,0,32055,0,90982,0,0,0,0,0,0,0,451149,0,273100,97881,159766,237018,329248,0,392495,127148,95388,16
74105,105244,135058,279885,117329,0,32055,0,90982,0,0,0,0,0,0,314300,250276,0,273100,97881,159766,237018,327192,0,386363,127073,95463,17
74105,105244,135058,279885,44878,0,32055,0,90982,0,0,0,0,0,91580,314300,250276,0,265865,97881,147872,237018,329248,0,384307,127282,95254,18
74105,90899,135058,279885,44878,0,32055,0,90982,0,62923,0,0,0,91580,314300,250276,0,265865,86106,147872,237018,329248,0,384307,90136,95597,19
74105,90899,43029,279885,44878,0,32055,0,90982,0,62923,92029,0,0,91580,314300,250276,0,265865,86106,147872,237018,329248,0,384307,90479,95254,20
74105,90899,43029,279885,44878,0,32055,0,90982,0,62923,92029,0,0,91580,314300,250276,0,265865,53655,147872,237018,303442,65608,384307,90136,88246,21
74105,90899,43029,266058,44878,0,32055,61633,67743,0,62923,67462,0,0,91580,314300,250276,0,265865,53655,147872,237018,303442,65399,384307,90479,88112,22
74105,90899,43029,266058,44878,0,32055,61633,67743,0,62923,67462,0,65238,84345,314300,250276,0,207862,53655,147872,237018,303442,65399,384307,90479,88112,23
74105,90899,43029,266058,10859,34019,32055,61633,67743,0,62923,67462,0,65238,84345,314300,250276,0,207862,53655,147872,237018,303442,65399,384307,90479,88112,24
56753,90899,28979,266058,10859,34019,32055,61633,67743,0,62923,60813,0,65238,84345,314300,250276,38051,207862,53655,147872,237018,303442,65399,384307,90479,88112,25
56753,34666,28979,266058,10859,34019,32055,61633,67743,56233,62923,60813,0,65238,84345,314300,250276,38051,207862,53655,147872,237018,303442,65399,384307,90479,88112,26
56753,34666,28534,208648,10859,34019,32055,61633,67743,56233,62923,60813,57410,65238,84345,314745,250276,38051,207862,53655,147872,237018,303442,65399,384307,90479,88112,27
