p,交通成本,规模成本,总成本
6,30623.42620000001,9304.9,39928.32620000001
7,22284.111299999997,9785.5,32069.611299999997
8,20073.600000000002,10251.4,30325.0
9,18154.743300000002,10943.8,29098.5433
10,16892.217099999998,11391.0,28283.217099999998
11,15839.756599999997,12057.4,27897.156599999995
12,15066.585600000004,12462.9,27529.485600000004
13,14321.611000000004,12954.2,27275.811000000005
14,13730.146900000003,13444.6,27174.746900000006
15,13212.896600000004,13849.0,27061.896600000004
16,12772.984200000006,14189.0,26961.984200000006
17,12342.219300000002,14711.5,27053.719300000004
18,11928.995400000007,14948.5,26877.495400000007
19,11586.978800000004,15189.5,26776.478800000004
20,11312.647300000004,15413.5,26726.147300000004
21,11072.243800000002,15669.5,26741.743800000004
22,10868.905500000003,15906.3,26775.205500000004
23,10724.9171,16208.7,26933.617100000003
24,10627.850400000001,16315.0,26942.850400000003
25,10543.750300000002,16479.2,27022.950300000004
26,10489.523900000002,16663.3,27152.823900000003
27,10442.661900000001,16958.6,27401.261899999998
