川沙新镇,惠南镇,花木街道,周浦镇,三林镇,高行镇,颛桥镇,浦江镇,七宝镇,月浦镇,张庙街道,大场镇,岳阳街道,九亭镇,江桥镇,嘉定镇街道,奉城镇,南桥镇,夏阳街道,华新镇,山阳镇,朱泾镇,泖港镇,新泾镇街道,马陆镇,庄行镇,宝山镇
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32055,0,208534,999417,350718,520699,991667
0,0,996709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43458,0,184063,987965,174185,287236,429474
0,160271,999675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43379,0,196738,996773,174185,206231,325838
0,160271,998312,0,0,0,0,0,520150,0,0,0,0,0,0,0,0,0,0,0,43379,0,152437,594351,174185,156956,303049
0,160271,962490,0,0,0,0,0,470100,0,501318,0,0,0,0,0,0,0,0,0,43379,0,162619,403203,144210,156956,98544
0,146107,645073,0,529138,0,0,0,0,0,501318,0,0,283782,0,0,0,0,0,0,43379,0,140543,425412,144210,145584,98544
0,146107,645073,0,428500,0,0,0,354198,0,501318,0,0,0,0,0,0,0,90982,0,43379,0,129223,385124,135058,145584,98544
139295,138965,531632,0,394275,0,0,0,369711,0,501318,0,0,0,0,0,0,0,90982,0,43379,0,129223,385124,135058,145584,98544
116022,138965,392495,0,394275,237018,0,0,369711,0,451149,0,0,0,0,0,0,0,90982,0,43379,0,129223,385124,135058,145584,74105
116022,138965,408658,0,380847,222911,159766,0,273100,0,451149,0,0,0,0,0,0,0,90982,0,43379,0,117329,385124,135058,105695,74105
95463,127073,406602,0,329248,222911,159766,97881,273100,0,451149,0,0,0,0,0,0,0,90982,0,43379,0,117329,385124,135058,93920,74105
95254,127282,384307,0,329248,237018,159766,97881,273100,0,250276,314300,0,0,0,0,0,0,90982,0,43379,0,117329,279885,135058,93920,74105
95254,127282,398414,0,329248,222911,147872,97881,265865,0,250276,314300,91580,0,0,0,0,0,90982,0,43379,0,44878,279885,135058,93920,74105
95254,90665,398414,0,344761,222911,147872,86106,250352,0,250276,314300,91580,0,0,0,62737,0,90982,0,43379,0,44878,279885,135058,79575,74105
95254,90558,398414,0,329248,222911,147872,86106,265865,0,250276,314300,91580,0,0,92029,62844,0,90982,0,43379,0,44878,279885,43029,79575,74105
88112,90456,398414,65608,303442,222911,147872,53655,265865,0,250276,314300,91580,0,0,92029,62737,0,90982,0,43379,0,44878,279885,43029,79575,74105
88112,90665,398414,65399,303442,222911,147872,53655,265865,0,250276,314300,91580,0,0,67462,62737,0,67743,61633,43379,0,44878,266058,43029,79575,74105
88112,90665,384307,65399,318955,237018,147872,53655,192349,0,250276,314300,84345,65238,0,67462,62737,0,67743,61633,43379,0,44878,266058,43029,79575,74105
88112,90665,398414,65399,318955,222911,147872,53655,192349,0,250276,314300,84345,65238,0,67462,62737,0,67743,61633,43379,34019,10859,266058,43029,79575,74105
88112,90665,384307,65399,303442,237018,147872,53655,207862,38051,250276,314300,84345,65238,0,60813,62737,0,67743,61633,43379,34019,10859,266058,28979,79575,56753
88112,90665,398414,65399,303442,222911,147872,53655,207862,38051,250276,314300,84345,65238,0,60813,62737,56233,67743,61633,43379,34019,10859,266058,28979,23342,56753
88112,90665,398414,65399,303442,222911,147872,53655,207862,38051,250276,314300,84345,65238,57410,60813,62737,64140,67743,61633,43379,34019,10859,208648,28979,15435,56753
